Year,Month,Country,Model,Segment,Engine_Type, Price_Usd , Marketing_Spend_Usd ,Dealership_Count, Fuel_Price_Usd ,Gdp_Growth_Percent,Interest_Rate_Percent,Competition_Index,Units_Sold,Gross Revenue,Net Revenue
2018,May,UK,5 SERIES,Sedan,Electric," $92,514.00 "," $228,986.00 ",178, $0.97 ,6.29,1.2,2,447," $41,353,758.00 "," $41,124,772.00 "
2022,Aug,Brazil,X3,SUV,Hybrid," $87,664.00 "," $265,705.00 ",324, $0.97 ,6.29,1.2,2,827," $72,498,128.00 "," $72,232,423.00 "
2022,Oct,Canada,X3,SUV,Diesel," $52,883.00 "," $414,633.00 ",334, $0.97 ,6.29,1.2,8,712," $37,652,696.00 "," $37,238,063.00 "
2017,Jan,Germany,X3,SUV,Electric," $78,059.00 "," $226,326.00 ",384, $0.97 ,6.29,1.2,8,1181," $92,187,679.00 "," $91,961,353.00 "
2020,Dec,Germany,X1,SUV,Petrol," $119,078.00 "," $352,240.00 ",101, $0.97 ,6.29,1.2,10,307," $36,556,946.00 "," $36,204,706.00 "
2019,Oct,France,X3,SUV,Petrol," $77,932.00 "," $365,929.00 ",190, $0.97 ,6.29,1.2,6,725," $56,500,700.00 "," $56,134,771.00 "
2016,Sep,Brazil,7 SERIES,Sedan,Hybrid," $96,269.00 "," $102,344.00 ",240, $0.97 ,6.29,1.2,5,588," $56,606,172.00 "," $56,503,828.00 "
2022,Jun,USA,3 SERIES,Sedan,Hybrid," $110,986.00 "," $296,060.00 ",310, $0.97 ,6.29,1.2,8,644," $71,474,984.00 "," $71,178,924.00 "
2020,Mar,Brazil,X3,SUV,Hybrid," $37,035.00 "," $432,526.00 ",157, $0.97 ,6.29,1.2,4,534," $19,776,690.00 "," $19,344,164.00 "
2016,Aug,Brazil,I7,Sedan,Electric," $75,745.00 "," $249,618.00 ",289, $0.97 ,6.29,1.2,4,1004," $76,047,980.00 "," $75,798,362.00 "
2019,Sep,Brazil,I7,Sedan,Petrol," $52,241.00 "," $209,484.00 ",198, $0.97 ,6.29,1.2,5,544," $28,419,104.00 "," $28,209,620.00 "
2015,Jun,UK,X1,SUV,Petrol," $87,975.00 "," $160,489.00 ",356, $0.97 ,6.29,1.2,1,751," $66,069,225.00 "," $65,908,736.00 "
2024,Nov,Brazil,7 SERIES,Sedan,Hybrid," $58,154.00 "," $494,874.00 ",359, $0.97 ,6.29,1.2,1,1061," $61,701,394.00 "," $61,206,520.00 "
2020,Jul,China,3 SERIES,Sedan,Diesel," $60,625.00 "," $492,765.00 ",323, $0.97 ,6.29,1.2,2,954," $57,836,250.00 "," $57,343,485.00 "
2023,Jan,Germany,5 SERIES,Sedan,Hybrid," $79,950.00 "," $308,667.00 ",137, $0.97 ,6.29,1.2,8,673," $53,806,350.00 "," $53,497,683.00 "
2015,May,France,I4,Sedan,Electric," $91,396.00 "," $61,549.00 ",16, $0.97 ,6.29,1.2,7,15," $1,370,940.00 "," $1,309,391.00 "
2024,May,China,3 SERIES,Sedan,Hybrid," $48,331.00 "," $75,739.00 ",56, $0.97 ,6.29,1.2,10,107," $5,171,417.00 "," $5,095,678.00 "
2017,Oct,France,I4,Sedan,Hybrid," $98,927.00 "," $333,353.00 ",62, $0.97 ,6.29,1.2,9,523," $51,738,821.00 "," $51,405,468.00 "
2021,Apr,India,X7,SUV,Electric," $119,719.00 "," $157,051.00 ",196, $0.97 ,6.29,1.2,5,782," $93,620,258.00 "," $93,463,207.00 "
2018,Jun,France,I4,Sedan,Hybrid," $98,014.00 "," $65,116.00 ",47, $0.97 ,6.29,1.2,2,397," $38,911,558.00 "," $38,846,442.00 "
2023,Jul,Germany,X5,SUV,Petrol," $74,346.00 "," $70,045.00 ",235, $0.97 ,6.29,1.2,7,773," $57,469,458.00 "," $57,399,413.00 "
2017,Sep,Germany,I7,Sedan,Diesel," $105,411.00 "," $469,543.00 ",62, $0.97 ,6.29,1.2,8,179," $18,868,569.00 "," $18,399,026.00 "
2019,Jan,Brazil,7 SERIES,Sedan,Hybrid," $89,478.00 "," $85,709.00 ",233, $0.97 ,6.29,1.2,7,652," $58,339,656.00 "," $58,253,947.00 "
2017,Jun,Japan,IX,SUV,Electric," $47,254.00 "," $355,761.00 ",163, $0.97 ,6.29,1.2,7,389," $18,381,806.00 "," $18,026,045.00 "
2021,Jul,India,X1,SUV,Diesel," $90,734.00 "," $207,977.00 ",57, $0.97 ,6.29,1.2,5,213," $19,326,342.00 "," $19,118,365.00 "
2019,Mar,USA,X5,SUV,Electric," $63,621.00 "," $253,675.00 ",360, $0.97 ,6.29,1.2,2,945," $60,121,845.00 "," $59,868,170.00 "
2023,Aug,Australia,I4,Sedan,Diesel," $111,441.00 "," $279,167.00 ",156, $0.97 ,6.29,1.2,6,705," $78,565,905.00 "," $78,286,738.00 "
2021,May,France,X3,SUV,Diesel," $81,121.00 "," $431,923.00 ",73, $0.97 ,6.29,1.2,4,368," $29,852,528.00 "," $29,420,605.00 "
2016,Sep,Japan,7 SERIES,Sedan,Hybrid," $116,418.00 "," $355,063.00 ",358, $0.97 ,6.29,1.2,10,743," $86,498,574.00 "," $86,143,511.00 "
2018,May,Brazil,X5,SUV,Petrol," $95,197.00 "," $395,665.00 ",191, $0.97 ,6.29,1.2,2,805," $76,633,585.00 "," $76,237,920.00 "
2023,Sep,UK,X1,SUV,Hybrid," $119,577.00 "," $269,222.00 ",134, $0.97 ,6.29,1.2,9,380," $45,439,260.00 "," $45,170,038.00 "
2016,Oct,USA,I7,Sedan,Electric," $77,431.00 "," $239,518.00 ",188, $0.97 ,6.29,1.2,7,543," $42,045,033.00 "," $41,805,515.00 "
2024,Apr,Canada,7 SERIES,Sedan,Electric," $39,837.00 "," $233,500.00 ",48, $0.97 ,6.29,1.2,6,429," $17,090,073.00 "," $16,856,573.00 "
2023,Sep,Japan,X1,SUV,Diesel," $118,163.00 "," $491,110.00 ",269, $0.97 ,6.29,1.2,5,661," $78,105,743.00 "," $77,614,633.00 "
2024,May,UK,X7,SUV,Diesel," $106,232.00 "," $318,591.00 ",391, $0.97 ,6.29,1.2,3,1001," $106,338,232.00 "," $106,019,641.00 "
2019,Oct,India,X7,SUV,Petrol," $83,994.00 "," $55,499.00 ",12, $0.97 ,6.29,1.2,10,413," $34,689,522.00 "," $34,634,023.00 "
2016,Sep,Brazil,X1,SUV,Hybrid," $114,079.00 "," $89,041.00 ",73, $0.97 ,6.29,1.2,10,396," $45,175,284.00 "," $45,086,243.00 "
2018,Mar,USA,X5,SUV,Electric," $47,615.00 "," $343,459.00 ",38, $0.97 ,6.29,1.2,4,225," $10,713,375.00 "," $10,369,916.00 "
2021,Apr,USA,7 SERIES,Sedan,Diesel," $36,466.00 "," $182,371.00 ",381, $0.97 ,6.29,1.2,3,992," $36,174,272.00 "," $35,991,901.00 "
2022,Sep,USA,X5,SUV,Petrol," $65,771.00 "," $432,650.00 ",20, $0.97 ,6.29,1.2,8,476," $31,306,996.00 "," $30,874,346.00 "
2017,Oct,India,5 SERIES,Sedan,Electric," $118,886.00 "," $186,066.00 ",106, $0.97 ,6.29,1.2,3,357," $42,442,302.00 "," $42,256,236.00 "
2015,Nov,France,I4,Sedan,Diesel," $100,911.00 "," $276,486.00 ",367, $0.97 ,6.29,1.2,7,1145," $115,543,095.00 "," $115,266,609.00 "
2018,Jun,Canada,5 SERIES,Sedan,Electric," $55,746.00 "," $262,235.00 ",212, $0.97 ,6.29,1.2,7,679," $37,851,534.00 "," $37,589,299.00 "
2016,Feb,India,X7,SUV,Petrol," $95,739.00 "," $307,831.00 ",30, $0.97 ,6.29,1.2,7,184," $17,615,976.00 "," $17,308,145.00 "
2022,Jul,Australia,I7,Sedan,Petrol," $108,369.00 "," $450,705.00 ",48, $0.97 ,6.29,1.2,7,205," $22,215,645.00 "," $21,764,940.00 "
2018,Feb,Canada,3 SERIES,Sedan,Electric," $36,893.00 "," $403,791.00 ",232, $0.97 ,6.29,1.2,2,534," $19,700,862.00 "," $19,297,071.00 "
2016,Nov,Germany,I4,Sedan,Hybrid," $65,573.00 "," $344,499.00 ",111, $0.97 ,6.29,1.2,10,578," $37,901,194.00 "," $37,556,695.00 "
2020,Feb,Brazil,X7,SUV,Electric," $75,874.00 "," $385,949.00 ",55, $0.97 ,6.29,1.2,3,292," $22,155,208.00 "," $21,769,259.00 "
2020,Nov,India,X5,SUV,Diesel," $112,362.00 "," $380,511.00 ",75, $0.97 ,6.29,1.2,10,495," $55,619,190.00 "," $55,238,679.00 "
2024,Jan,UK,X5,SUV,Hybrid," $68,367.00 "," $422,050.00 ",100, $0.97 ,6.29,1.2,9,576," $39,379,392.00 "," $38,957,342.00 "
2018,Nov,Canada,X5,SUV,Diesel," $56,199.00 "," $429,553.00 ",173, $0.97 ,6.29,1.2,3,534," $30,010,266.00 "," $29,580,713.00 "
2020,Nov,Australia,I7,Sedan,Electric," $109,328.00 "," $389,499.00 ",120, $0.97 ,6.29,1.2,2,453," $49,525,584.00 "," $49,136,085.00 "
2016,Dec,Germany,5 SERIES,Sedan,Hybrid," $92,724.00 "," $166,220.00 ",347, $0.97 ,6.29,1.2,9,1070," $99,214,680.00 "," $99,048,460.00 "
2024,Nov,France,3 SERIES,Sedan,Diesel," $71,405.00 "," $271,421.00 ",132, $0.97 ,6.29,1.2,10,348," $24,848,940.00 "," $24,577,519.00 "
2016,Mar,UK,X5,SUV,Electric," $50,989.00 "," $399,317.00 ",202, $0.97 ,6.29,1.2,9,651," $33,193,839.00 "," $32,794,522.00 "
2024,Jun,Canada,IX,SUV,Electric," $63,931.00 "," $314,140.00 ",108, $0.97 ,6.29,1.2,4,307," $19,626,817.00 "," $19,312,677.00 "
2018,Aug,Brazil,I4,Sedan,Hybrid," $44,290.00 "," $301,071.00 ",300, $0.97 ,6.29,1.2,9,951," $42,119,790.00 "," $41,818,719.00 "
2022,Sep,UK,7 SERIES,Sedan,Electric," $73,367.00 "," $356,531.00 ",168, $0.97 ,6.29,1.2,3,393," $28,833,231.00 "," $28,476,700.00 "
2021,Jul,Germany,IX,SUV,Petrol," $114,878.00 "," $53,089.00 ",112, $0.97 ,6.29,1.2,7,453," $52,039,734.00 "," $51,986,645.00 "
2023,Apr,UK,3 SERIES,Sedan,Diesel," $114,481.00 "," $410,971.00 ",394, $0.97 ,6.29,1.2,7,1190," $136,232,390.00 "," $135,821,419.00 "
2022,Jun,China,I7,Sedan,Diesel," $111,298.00 "," $332,803.00 ",290, $0.97 ,6.29,1.2,8,847," $94,269,406.00 "," $93,936,603.00 "
2019,May,Japan,3 SERIES,Sedan,Electric," $65,133.00 "," $357,322.00 ",52, $0.97 ,6.29,1.2,10,117," $7,620,561.00 "," $7,263,239.00 "
2016,Aug,France,7 SERIES,Sedan,Electric," $62,052.00 "," $145,965.00 ",93, $0.97 ,6.29,1.2,4,518," $32,142,936.00 "," $31,996,971.00 "
2019,Jan,Germany,I4,Sedan,Petrol," $75,475.00 "," $131,268.00 ",200, $0.97 ,6.29,1.2,3,610," $46,039,750.00 "," $45,908,482.00 "
2022,Jan,UK,7 SERIES,Sedan,Hybrid," $117,666.00 "," $397,186.00 ",60, $0.97 ,6.29,1.2,3,260," $30,593,160.00 "," $30,195,974.00 "
2024,Nov,Japan,X1,SUV,Electric," $92,656.00 "," $418,615.00 ",395, $0.97 ,6.29,1.2,5,1115," $103,311,440.00 "," $102,892,825.00 "
2023,Jun,Japan,I4,Sedan,Electric," $39,633.00 "," $251,798.00 ",219, $0.97 ,6.29,1.2,1,677," $26,831,541.00 "," $26,579,743.00 "
2023,Oct,UK,3 SERIES,Sedan,Electric," $52,304.00 "," $382,255.00 ",135, $0.97 ,6.29,1.2,10,370," $19,352,480.00 "," $18,970,225.00 "
2015,Dec,Brazil,X5,SUV,Electric," $81,546.00 "," $287,103.00 ",78, $0.97 ,6.29,1.2,3,532," $43,382,472.00 "," $43,095,369.00 "
2023,Feb,China,3 SERIES,Sedan,Diesel," $42,008.00 "," $294,754.00 ",274, $0.97 ,6.29,1.2,6,691," $29,027,528.00 "," $28,732,774.00 "
2021,May,India,3 SERIES,Sedan,Electric," $83,291.00 "," $215,637.00 ",267, $0.97 ,6.29,1.2,3,899," $74,878,609.00 "," $74,662,972.00 "
2023,Jan,China,I4,Sedan,Diesel," $62,405.00 "," $412,579.00 ",197, $0.97 ,6.29,1.2,5,605," $37,755,025.00 "," $37,342,446.00 "
2022,Jul,UK,X1,SUV,Electric," $71,386.00 "," $139,242.00 ",239, $0.97 ,6.29,1.2,9,474," $33,836,964.00 "," $33,697,722.00 "
2015,Jan,France,3 SERIES,Sedan,Hybrid," $55,827.00 "," $425,348.00 ",198, $0.97 ,6.29,1.2,2,706," $39,413,862.00 "," $38,988,514.00 "
2022,Apr,India,IX,SUV,Petrol," $68,040.00 "," $203,956.00 ",19, $0.97 ,6.29,1.2,2,272," $18,506,880.00 "," $18,302,924.00 "
2022,Sep,Germany,X7,SUV,Hybrid," $95,354.00 "," $329,343.00 ",123, $0.97 ,6.29,1.2,6,531," $50,632,974.00 "," $50,303,631.00 "
2017,Jan,China,X3,SUV,Electric," $113,543.00 "," $110,038.00 ",85, $0.97 ,6.29,1.2,6,586," $66,536,198.00 "," $66,426,160.00 "
2015,Apr,UK,X3,SUV,Electric," $53,157.00 "," $107,786.00 ",173, $0.97 ,6.29,1.2,8,667," $35,455,719.00 "," $35,347,933.00 "
2022,Jun,China,3 SERIES,Sedan,Electric," $70,315.00 "," $421,780.00 ",94, $0.97 ,6.29,1.2,2,559," $39,306,085.00 "," $38,884,305.00 "
2017,Jun,India,IX,SUV,Hybrid," $70,932.00 "," $286,042.00 ",58, $0.97 ,6.29,1.2,9,502," $35,607,864.00 "," $35,321,822.00 "
2017,Dec,Australia,X5,SUV,Electric," $56,164.00 "," $361,438.00 ",335, $0.97 ,6.29,1.2,2,822," $46,166,808.00 "," $45,805,370.00 "
2015,Aug,Canada,I7,Sedan,Hybrid," $49,414.00 "," $259,087.00 ",186, $0.97 ,6.29,1.2,1,564," $27,869,496.00 "," $27,610,409.00 "
2019,Jan,China,I7,Sedan,Diesel," $49,327.00 "," $215,250.00 ",396, $0.97 ,6.29,1.2,10,1066," $52,582,582.00 "," $52,367,332.00 "
2024,Jul,Germany,I4,Sedan,Petrol," $35,946.00 "," $455,881.00 ",398, $0.97 ,6.29,1.2,2,871," $31,308,966.00 "," $30,853,085.00 "
2021,Jan,Germany,X3,SUV,Petrol," $49,693.00 "," $312,678.00 ",227, $0.97 ,6.29,1.2,7,592," $29,418,256.00 "," $29,105,578.00 "
2024,Jul,USA,3 SERIES,Sedan,Hybrid," $62,241.00 "," $403,972.00 ",198, $0.97 ,6.29,1.2,8,508," $31,618,428.00 "," $31,214,456.00 "
2023,Mar,China,I7,Sedan,Diesel," $50,540.00 "," $348,276.00 ",355, $0.97 ,6.29,1.2,5,1177," $59,485,580.00 "," $59,137,304.00 "
2021,Nov,Canada,3 SERIES,Sedan,Hybrid," $107,255.00 "," $427,864.00 ",239, $0.97 ,6.29,1.2,6,630," $67,570,650.00 "," $67,142,786.00 "
2023,Aug,Brazil,I4,Sedan,Diesel," $99,757.00 "," $348,254.00 ",264, $0.97 ,6.29,1.2,1,845," $84,294,665.00 "," $83,946,411.00 "
2022,Mar,Japan,X3,SUV,Electric," $76,203.00 "," $239,826.00 ",245, $0.97 ,6.29,1.2,6,880," $67,058,640.00 "," $66,818,814.00 "
2016,Jan,Canada,7 SERIES,Sedan,Diesel," $60,081.00 "," $375,724.00 ",35, $0.97 ,6.29,1.2,8,100," $6,008,100.00 "," $5,632,376.00 "
2015,Aug,Japan,X7,SUV,Diesel," $96,861.00 "," $465,685.00 ",81, $0.97 ,6.29,1.2,3,451," $43,684,311.00 "," $43,218,626.00 "
2021,Mar,Japan,X7,SUV,Diesel," $46,350.00 "," $376,160.00 ",270, $0.97 ,6.29,1.2,1,944," $43,754,400.00 "," $43,378,240.00 "
2021,Feb,Australia,I7,Sedan,Petrol," $90,512.00 "," $96,233.00 ",263, $0.97 ,6.29,1.2,4,705," $63,810,960.00 "," $63,714,727.00 "
2022,Jan,USA,X7,SUV,Diesel," $91,809.00 "," $442,007.00 ",280, $0.97 ,6.29,1.2,1,947," $86,943,123.00 "," $86,501,116.00 "
2019,Mar,Canada,7 SERIES,Sedan,Electric," $77,832.00 "," $247,780.00 ",132, $0.97 ,6.29,1.2,8,658," $51,213,456.00 "," $50,965,676.00 "
2017,Feb,Canada,3 SERIES,Sedan,Electric," $63,369.00 "," $274,522.00 ",153, $0.97 ,6.29,1.2,5,532," $33,712,308.00 "," $33,437,786.00 "
2022,Feb,Australia,I4,Sedan,Electric," $66,728.00 "," $156,311.00 ",266, $0.97 ,6.29,1.2,1,904," $60,322,112.00 "," $60,165,801.00 "
2020,Jun,China,7 SERIES,Sedan,Diesel," $52,576.00 "," $84,409.00 ",153, $0.97 ,6.29,1.2,8,728," $38,275,328.00 "," $38,190,919.00 "
2017,Dec,China,I4,Sedan,Hybrid," $64,001.00 "," $296,231.00 ",268, $0.97 ,6.29,1.2,9,709," $45,376,709.00 "," $45,080,478.00 "
2015,Jan,China,I4,Sedan,Hybrid," $118,384.00 "," $462,540.00 ",56, $0.97 ,6.29,1.2,10,368," $43,565,312.00 "," $43,102,772.00 "
2017,Feb,France,X3,SUV,Electric," $35,390.00 "," $451,954.00 ",360, $0.97 ,6.29,1.2,2,1007," $35,637,730.00 "," $35,185,776.00 "
2019,Jun,Japan,3 SERIES,Sedan,Petrol," $80,436.00 "," $336,198.00 ",22, $0.97 ,6.29,1.2,9,193," $15,524,148.00 "," $15,187,950.00 "
2017,Mar,France,IX,SUV,Hybrid," $46,569.00 "," $79,709.00 ",385, $0.97 ,6.29,1.2,8,874," $40,701,306.00 "," $40,621,597.00 "
2015,Apr,USA,X7,SUV,Diesel," $48,029.00 "," $159,321.00 ",217, $0.97 ,6.29,1.2,7,622," $29,874,038.00 "," $29,714,717.00 "
2019,Jan,Australia,IX,SUV,Hybrid," $57,490.00 "," $50,363.00 ",320, $0.97 ,6.29,1.2,3,1049," $60,307,010.00 "," $60,256,647.00 "
2024,Aug,Canada,X3,SUV,Electric," $80,875.00 "," $322,502.00 ",244, $0.97 ,6.29,1.2,2,857," $69,309,875.00 "," $68,987,373.00 "
2021,Jul,Japan,I4,Sedan,Petrol," $40,867.00 "," $446,456.00 ",158, $0.97 ,6.29,1.2,7,426," $17,409,342.00 "," $16,962,886.00 "
2021,Jul,France,I7,Sedan,Hybrid," $115,820.00 "," $95,689.00 ",331, $0.97 ,6.29,1.2,5,1055," $122,190,100.00 "," $122,094,411.00 "
2023,Mar,France,X7,SUV,Hybrid," $44,121.00 "," $314,080.00 ",164, $0.97 ,6.29,1.2,6,742," $32,737,782.00 "," $32,423,702.00 "
2024,Oct,UK,X7,SUV,Electric," $36,539.00 "," $424,416.00 ",175, $0.97 ,6.29,1.2,4,686," $25,065,754.00 "," $24,641,338.00 "
2024,Oct,France,3 SERIES,Sedan,Petrol," $52,027.00 "," $141,074.00 ",99, $0.97 ,6.29,1.2,2,299," $15,556,073.00 "," $15,414,999.00 "
2017,Mar,Brazil,X1,SUV,Petrol," $109,229.00 "," $225,037.00 ",195, $0.97 ,6.29,1.2,9,716," $78,207,964.00 "," $77,982,927.00 "
2021,Feb,Canada,5 SERIES,Sedan,Electric," $43,921.00 "," $258,606.00 ",327, $0.97 ,6.29,1.2,3,906," $39,792,426.00 "," $39,533,820.00 "
2015,Dec,Brazil,5 SERIES,Sedan,Diesel," $85,435.00 "," $50,882.00 ",367, $0.97 ,6.29,1.2,7,1038," $88,681,530.00 "," $88,630,648.00 "
2018,Jan,Canada,5 SERIES,Sedan,Hybrid," $45,310.00 "," $463,440.00 ",183, $0.97 ,6.29,1.2,8,421," $19,075,510.00 "," $18,612,070.00 "
2018,Jul,Australia,X1,SUV,Diesel," $98,965.00 "," $417,371.00 ",226, $0.97 ,6.29,1.2,2,551," $54,529,715.00 "," $54,112,344.00 "
2019,Jul,Canada,3 SERIES,Sedan,Hybrid," $104,922.00 "," $304,822.00 ",273, $0.97 ,6.29,1.2,6,941," $98,731,602.00 "," $98,426,780.00 "
2021,Dec,Brazil,X1,SUV,Hybrid," $117,839.00 "," $175,865.00 ",106, $0.97 ,6.29,1.2,8,626," $73,767,214.00 "," $73,591,349.00 "
2021,Feb,Canada,5 SERIES,Sedan,Diesel," $47,242.00 "," $173,745.00 ",126, $0.97 ,6.29,1.2,7,632," $29,856,944.00 "," $29,683,199.00 "
2018,Jul,Australia,X3,SUV,Electric," $43,947.00 "," $474,041.00 ",208, $0.97 ,6.29,1.2,3,837," $36,783,639.00 "," $36,309,598.00 "
2021,Aug,Australia,7 SERIES,Sedan,Electric," $106,466.00 "," $78,885.00 ",329, $0.97 ,6.29,1.2,1,749," $79,743,034.00 "," $79,664,149.00 "
2017,Jan,USA,I4,Sedan,Hybrid," $96,816.00 "," $221,128.00 ",30, $0.97 ,6.29,1.2,6,373," $36,112,368.00 "," $35,891,240.00 "
2020,Sep,Canada,X1,SUV,Electric," $83,785.00 "," $446,419.00 ",209, $0.97 ,6.29,1.2,8,753," $63,090,105.00 "," $62,643,686.00 "
2016,Jul,UK,3 SERIES,Sedan,Hybrid," $35,507.00 "," $241,313.00 ",380, $0.97 ,6.29,1.2,6,1169," $41,507,683.00 "," $41,266,370.00 "
2024,Mar,China,3 SERIES,Sedan,Electric," $101,972.00 "," $445,460.00 ",350, $0.97 ,6.29,1.2,5,780," $79,538,160.00 "," $79,092,700.00 "
2023,Aug,Germany,IX,SUV,Hybrid," $62,151.00 "," $410,466.00 ",257, $0.97 ,6.29,1.2,8,756," $46,986,156.00 "," $46,575,690.00 "
2019,Jul,Australia,7 SERIES,Sedan,Electric," $46,618.00 "," $380,763.00 ",285, $0.97 ,6.29,1.2,2,848," $39,532,064.00 "," $39,151,301.00 "
2020,Nov,India,I7,Sedan,Petrol," $109,286.00 "," $71,584.00 ",273, $0.97 ,6.29,1.2,1,911," $99,559,546.00 "," $99,487,962.00 "
2018,Aug,China,X7,SUV,Diesel," $51,122.00 "," $320,665.00 ",67, $0.97 ,6.29,1.2,1,530," $27,094,660.00 "," $26,773,995.00 "
2024,Jun,Japan,5 SERIES,Sedan,Petrol," $42,354.00 "," $231,089.00 ",311, $0.97 ,6.29,1.2,4,989," $41,888,106.00 "," $41,657,017.00 "
2021,Sep,Canada,I7,Sedan,Diesel," $65,979.00 "," $345,685.00 ",40, $0.97 ,6.29,1.2,6,203," $13,393,737.00 "," $13,048,052.00 "
2023,May,Brazil,IX,SUV,Diesel," $114,376.00 "," $79,063.00 ",258, $0.97 ,6.29,1.2,9,685," $78,347,560.00 "," $78,268,497.00 "
2021,Mar,Germany,5 SERIES,Sedan,Hybrid," $87,774.00 "," $120,268.00 ",102, $0.97 ,6.29,1.2,1,408," $35,811,792.00 "," $35,691,524.00 "
2015,Mar,India,7 SERIES,Sedan,Diesel," $40,037.00 "," $306,306.00 ",274, $0.97 ,6.29,1.2,1,762," $30,508,194.00 "," $30,201,888.00 "
2015,Jan,China,IX,SUV,Petrol," $63,633.00 "," $176,218.00 ",280, $0.97 ,6.29,1.2,5,941," $59,878,653.00 "," $59,702,435.00 "
2023,Dec,Canada,5 SERIES,Sedan,Petrol," $59,495.00 "," $430,350.00 ",103, $0.97 ,6.29,1.2,10,425," $25,285,375.00 "," $24,855,025.00 "
2023,Aug,USA,7 SERIES,Sedan,Electric," $99,550.00 "," $274,126.00 ",163, $0.97 ,6.29,1.2,5,596," $59,331,800.00 "," $59,057,674.00 "
2018,Feb,Japan,X5,SUV,Petrol," $116,384.00 "," $220,635.00 ",294, $0.97 ,6.29,1.2,5,769," $89,499,296.00 "," $89,278,661.00 "
2023,Mar,Germany,I7,Sedan,Electric," $71,483.00 "," $220,824.00 ",89, $0.97 ,6.29,1.2,10,543," $38,815,269.00 "," $38,594,445.00 "
2017,Aug,UK,I7,Sedan,Diesel," $108,373.00 "," $276,305.00 ",301, $0.97 ,6.29,1.2,6,997," $108,047,881.00 "," $107,771,576.00 "
2021,Aug,USA,X7,SUV,Petrol," $69,069.00 "," $445,783.00 ",93, $0.97 ,6.29,1.2,8,357," $24,657,633.00 "," $24,211,850.00 "
2020,Nov,India,7 SERIES,Sedan,Diesel," $42,370.00 "," $459,337.00 ",374, $0.97 ,6.29,1.2,3,1043," $44,191,910.00 "," $43,732,573.00 "
2022,Apr,Germany,X1,SUV,Petrol," $106,947.00 "," $444,890.00 ",383, $0.97 ,6.29,1.2,9,849," $90,798,003.00 "," $90,353,113.00 "
2023,Apr,USA,X5,SUV,Petrol," $74,133.00 "," $126,411.00 ",46, $0.97 ,6.29,1.2,1,122," $9,044,226.00 "," $8,917,815.00 "
2019,May,Japan,X3,SUV,Electric," $35,692.00 "," $159,876.00 ",351, $0.97 ,6.29,1.2,4,916," $32,693,872.00 "," $32,533,996.00 "
2015,Jun,UK,5 SERIES,Sedan,Diesel," $63,926.00 "," $248,153.00 ",336, $0.97 ,6.29,1.2,9,882," $56,382,732.00 "," $56,134,579.00 "
2017,May,USA,X5,SUV,Petrol," $108,984.00 "," $210,212.00 ",241, $0.97 ,6.29,1.2,8,472," $51,440,448.00 "," $51,230,236.00 "
2024,Jul,France,7 SERIES,Sedan,Hybrid," $78,390.00 "," $190,399.00 ",102, $0.97 ,6.29,1.2,10,448," $35,118,720.00 "," $34,928,321.00 "
2022,Feb,UK,I4,Sedan,Diesel," $84,593.00 "," $73,331.00 ",345, $0.97 ,6.29,1.2,9,956," $80,870,908.00 "," $80,797,577.00 "
2020,Jul,India,5 SERIES,Sedan,Diesel," $110,609.00 "," $73,004.00 ",111, $0.97 ,6.29,1.2,1,628," $69,462,452.00 "," $69,389,448.00 "
